dayafter31dec,totalconfirmed,totaldeceased,dailyconfirmed,dailydeceased,dailyrecovered,%increaseInInfection,TotalTests,%increaseInTest,%NewInfectionInDailyTests,LockDownUnlockPhases,PreviousPolicyBufferTime(7days),CasesAfter10days
30,1,0,1,0,0,100,112.625,112,0.888,7,7,3
31,1,0,0,0,0,0,224.625,99.445,0,7,7,3
32,1,0,0,0,0,0,336.625,49.861,0,7,7,3
33,2,0,1,0,0,100,448.625,33.271,0.893,7,7,3
34,3,0,1,0,0,50,560.625,24.965,0.893,7,7,3
35,3,0,0,0,0,0,672.625,19.978,0,7,7,3
36,3,0,0,0,0,0,784.625,16.651,0,7,7,3
37,3,0,0,0,0,0,901,14.832,0,7,7,3
38,3,0,0,0,0,0,1038.333,15.242,0,7,7,3
39,3,0,0,0,0,0,1175.667,13.226,0,7,7,3
40,3,0,0,0,0,0,1313,11.681,0,7,7,3
41,3,0,0,0,0,0,1450.333,10.459,0,7,7,3
42,3,0,0,0,0,0,1587.667,9.469,0,7,7,3
43,3,0,0,0,0,0,1725,8.65,0,7,7,3
44,3,0,0,0,1,0,1824.7,5.78,0,7,7,3
45,3,0,0,0,0,0,1924.4,5.464,0,7,7,3
46,3,0,0,0,0,0,2024.1,5.181,0,7,7,3
47,3,0,0,0,1,0,2123.8,4.926,0,7,7,3
48,3,0,0,0,0,0,2223.5,4.694,0,7,7,3
49,3,0,0,0,0,0,2323.2,4.484,0,7,7,3
50,3,0,0,0,0,0,2422.9,4.291,0,7,7,3
51,3,0,0,0,1,0,2522.6,4.115,0,7,7,3
52,3,0,0,0,0,0,2622.3,3.952,0,7,7,3
53,3,0,0,0,0,0,2722,3.802,0,7,7,5
54,3,0,0,0,0,0,2748.5,0.974,0,7,7,6
55,3,0,0,0,0,0,2775,0.964,0,7,7,28
56,3,0,0,0,0,0,2801,0.937,0,7,7,30
57,3,0,0,0,0,0,2827,0.928,0,7,7,31
58,3,0,0,0,0,0,2853.5,0.937,0,7,7,34
59,3,0,0,0,0,0,2880,0.929,0,7,7,39
60,3,0,0,0,0,0,3117.5,8.247,0,7,7,48
61,3,0,0,0,0,0,3355,7.618,0,7,7,63
62,5,0,2,0,0,66.667,3592.5,7.079,0.842,7,7,71
63,6,0,1,0,0,20,3830,6.611,0.421,7,7,81
64,28,0,22,0,0,366.667,4067.5,6.201,9.263,7,7,91
65,30,0,2,0,0,7.143,4305,5.839,0.842,7,7,102
66,31,0,1,0,0,3.333,4542.5,5.517,0.421,7,7,112
67,34,0,3,0,0,9.677,4780,5.228,1.263,7,7,126
68,39,0,5,0,0,14.706,5017.5,4.969,2.105,7,7,146
69,48,0,9,0,0,23.077,5255,4.733,3.789,7,7,171
70,63,0,15,0,1,31.25,5462.5,3.949,7.229,7,7,198
71,71,0,8,0,0,12.698,5670,3.799,3.855,7,7,256
72,81,1,10,1,0,14.085,5877.5,3.66,4.819,7,7,334
73,91,1,10,0,6,12.346,6085,3.53,4.819,7,7,403
74,102,2,11,1,0,12.088,6292.5,3.41,5.301,7,7,497
75,112,2,10,0,3,9.804,6500,3.298,4.819,7,7,571
76,126,2,14,0,1,12.5,8188.833,25.982,0.829,7,7,657
77,146,3,20,1,1,15.873,9877.667,20.624,1.184,7,7,730
78,171,3,25,0,0,17.123,13125,32.876,0.77,7,7,883
79,198,4,27,1,5,15.789,13316,1.455,14.136,7,7,1019
80,256,4,58,0,3,29.293,15404,15.68,2.778,7,7,1139
81,334,4,78,0,0,30.469,16633,7.978,6.347,7,7,1326
82,403,7,69,3,0,20.659,18127,8.982,4.618,7,7,1635
83,497,9,94,2,2,23.325,20707,14.233,3.643,1,7,2059
84,571,10,74,1,15,14.889,22694,9.596,3.724,1,7,2545
85,657,11,86,1,3,15.061,25144,10.796,3.51,1,7,3105
86,730,16,73,5,7,11.111,26416,5.059,5.739,1,7,3684
87,883,19,153,3,25,20.959,27688,4.815,12.028,1,7,4293
88,1019,24,136,5,10,15.402,31308,13.074,3.757,1,7,4777
89,1139,27,120,3,17,11.776,34928,11.563,3.315,1,7,5350
90,1326,41,187,14,35,16.418,38442,10.061,5.322,1,7,5915
91,1635,47,309,6,13,23.303,42785,11.298,7.115,1,1,6728
92,2059,53,424,6,19,25.933,47951,12.074,8.208,1,1,7599
93,2545,69,486,16,22,23.604,55851,16.475,6.152,1,1,8453
94,3105,83,560,14,39,22.004,69245,23.982,4.181,1,1,9211
95,3684,96,579,13,56,18.647,79950,15.46,5.409,1,1,10454
96,4293,118,609,22,43,16.531,89534,11.987,6.354,1,1,11485
97,4777,134,484,16,65,11.274,101068,12.882,4.196,1,1,12371
98,5350,161,573,27,75,11.995,114015,12.81,4.426,1,1,13432
99,5915,181,565,20,96,10.561,127919,12.195,4.064,1,1,14354
100,6728,227,813,46,70,13.745,144910,13.283,4.785,1,1,15725
101,7599,249,871,22,151,12.946,161330,11.331,5.305,1,1,17305
102,8453,290,854,41,186,11.238,179374,11.185,4.733,1,1,18544
103,9211,332,758,42,114,8.967,195748,9.128,4.629,1,1,20081
104,10454,359,1243,27,112,13.495,217554,11.14,5.7,1,1,21373
105,11485,396,1031,37,167,9.862,244893,12.567,3.771,1,1,23040
106,12371,423,886,27,144,7.714,274599,12.13,2.983,2,1,24448
107,13432,449,1061,26,258,8.577,302956,10.327,3.742,2,1,26283
108,14354,487,922,38,273,6.864,335123,10.618,2.866,2,1,27890
109,15725,522,1371,35,426,9.551,372123,11.041,3.705,2,1,29458
110,17305,560,1580,38,388,10.048,401586,7.918,5.363,2,1,31360
111,18544,593,1239,33,419,7.16,432103.5,7.599,4.06,2,1,33065
112,20081,646,1537,53,703,8.288,462621,7.063,5.036,2,1,34866
113,21373,682,1292,36,394,6.434,481581.5,4.098,6.814,2,2,37262
114,23040,722,1667,40,642,7.8,500542,3.937,8.792,2,2,39826
115,24448,781,1408,59,484,6.111,541789,8.24,3.414,2,2,42778
116,26283,825,1835,44,442,7.506,579957,7.045,4.808,2,2,46434
117,27890,881,1607,56,585,6.114,625309,7.82,3.543,2,2,49405
118,29458,939,1568,58,580,5.622,665819,6.478,3.871,2,2,53007
119,31360,1008,1902,69,636,6.457,716733,7.647,3.736,2,2,56351
120,33065,1079,1705,71,690,5.437,770764,7.539,3.156,2,2,59690
121,34866,1154,1801,75,630,5.447,830201,7.711,3.03,2,2,62865
122,37262,1231,2396,77,962,6.872,902654,8.727,3.307,2,2,67176
123,39826,1323,2564,92,831,6.881,976363,8.166,3.479,2,2,70768
124,42778,1463,2952,140,911,7.412,1046450,7.178,4.212,2,2,74330
125,46434,1566,3656,103,1082,8.546,1107233,5.808,6.015,3,2,78056
126,49405,1694,2971,128,1295,6.398,1191946,7.651,3.507,3,2,82047
127,53007,1785,3602,91,1161,7.291,1276781,7.117,4.246,3,2,85855
128,56351,1889,3344,104,1475,6.309,1357413,6.315,4.147,3,2,90649
129,59690,1986,3339,97,1111,5.925,1437788,5.921,4.154,3,2,95698
130,62865,2101,3175,115,1414,5.319,1523213,5.941,3.717,3,2,100326
131,67176,2213,4311,112,1669,6.858,1609037,5.634,5.023,3,2,106480
132,70768,2294,3592,81,1579,5.347,1673688,4.018,5.556,3,3,112200
133,74330,2414,3562,120,1905,5.033,1759579,5.132,4.147,3,3,118223
134,78056,2551,3726,137,1963,5.013,1854250,5.38,3.936,3,3,124759
135,82047,2648,3991,97,1594,5.113,1947041,5.004,4.301,3,3,131424
136,85855,2752,3808,104,2234,4.641,2039952,4.772,4.099,3,3,138537
137,90649,2872,4794,120,4012,5.584,2134277,4.624,5.082,3,3,144951
138,95698,3024,5049,152,2538,5.57,2227642,4.375,5.408,3,3,150858
139,100326,3155,4628,131,2482,4.836,2302792,3.374,6.158,4,3,158104
140,106480,3301,6154,146,3032,6.134,2404267,4.407,6.065,4,3,165358
141,112200,3435,5720,134,3113,5.372,2512388,4.497,5.29,4,3,173496
142,118223,3583,6023,148,3131,5.368,2615920,4.121,5.818,4,3,181860
143,124759,3725,6536,142,3280,5.529,2719434,3.957,6.314,4,3,190649
144,131424,3867,6665,142,2576,5.342,2834798,4.242,5.777,4,3,198372
145,138537,4023,7113,156,3285,5.412,2943421,3.832,6.548,4,3,207187
146,144951,4173,6414,150,3012,4.63,3033591,3.063,7.113,4,4,216825
147,150858,4346,5907,173,3585,4.075,3126119,3.05,6.384,4,4,226693
148,158104,4534,7246,188,3434,4.803,3242160,3.712,6.244,4,4,236184
149,165358,4710,7254,176,3171,4.588,3362136,3.7,6.046,4,4,246454
150,173496,4979,8138,269,11735,4.921,3483838,3.62,6.687,4,4,257486
151,181860,5184,8364,205,4303,4.821,3611599,3.667,6.547,4,4,265928
152,190649,5406,8789,222,4928,4.833,3737027,3.473,7.007,4,4,274780
153,198372,5607,7723,201,3892,4.051,3837207,2.681,7.709,5,4,287155
154,207187,5828,8815,221,4531,4.444,3966075,3.358,6.84,5,4,298283
155,216825,6087,9638,259,3786,4.652,4103233,3.458,7.027,5,4,309603
156,226693,6363,9868,276,4386,4.551,4242718,3.399,7.075,5,4,321626
157,236184,6649,9491,286,4783,4.187,4386379,3.386,6.607,5,4,332783
158,246454,6946,10270,297,5462,4.348,4524317,3.145,7.445,5,4,343026
159,257486,7207,11032,261,5153,4.476,4666386,3.14,7.765,5,4,354161
160,265928,7473,8442,266,5247,3.279,4774434,2.315,7.813,5,5,367264
161,274780,7719,8852,246,5070,3.329,4916116,2.968,6.248,5,5,381091
162,287155,8107,12375,388,6814,4.504,5061332,2.954,8.522,5,5,395812
163,298283,8501,11128,394,5993,3.875,5213140,2.999,7.330,5,5,
164,309603,8890,11320,389,7259,3.795,5363445,2.883,7.531,5,5,
165,321626,9199,12023,309,8095,3.883,5507182,2.680,8.365,5,5,
166,332783,9520,11157,321,7363,3.469,5658614,2.750,7.368,5,5,
167,343026,9915,10243,395,10631,3.078,5774133,2.041,8.867,5,5,
168,354161,11921,11135,2006,7232,3.246,5921069,2.545,7.578,5,5,
169,367264,12262,13103,341,6886,3.700,6084256,2.756,8.029,5,5,
170,381091,12604,13827,342,10744,3.765,6244668,2.637,8.620,5,5,
171,395812,12970,14721,366,9024,3.863,6426627,2.914,8.090,5,5,
180,549197,16487,153385,3517,11628,38.752,8227802,28.027,8.516,5,5,
