dayafter31dec,totalconfirmed,totaldeceased,dailyconfirmed,dailydeceased,dailyrecovered,%increaseInInfection,TotalTests,%increaseInTest,%NewInfectionInDailyTests,LockDownUnlockPhases,PreviousPolicyBufferTime(7days),CasesAfter10days
30,1,0,1,0,0,100,112.625,112,0.887902331,7,7,3
31,1,0,0,0,0,0,224.625,99.44506104,0,7,7,3
32,1,0,0,0,0,0,336.625,49.86087924,0,7,7,3
33,2,0,1,0,0,100,448.625,33.27144449,0.892857143,7,7,3
34,3,0,1,0,0,50,560.625,24.96517136,0.892857143,7,7,3
35,3,0,0,0,0,0,672.625,19.97770346,0,7,7,3
36,3,0,0,0,0,0,784.625,16.65118008,0,7,7,3
37,3,0,0,0,0,0,901,14.83192608,0,7,7,3
38,3,0,0,0,0,0,1038.333,15.24232342,0,7,7,3
39,3,0,0,0,0,0,1175.667,13.2263242,0,7,7,3
40,3,0,0,0,0,0,1313,11.68131553,0,7,7,3
41,3,0,0,0,0,0,1450.333,10.45950746,0,7,7,3
42,3,0,0,0,0,0,1587.667,9.469087614,0,7,7,3
43,3,0,0,0,0,0,1725,8.650010475,0,7,7,3
44,3,0,0,0,1,0,1824.7,5.779710145,0,7,7,3
45,3,0,0,0,0,0,1924.4,5.463911876,0,7,7,3
46,3,0,0,0,0,0,2024.1,5.180835585,0,7,7,3
47,3,0,0,0,1,0,2123.8,4.925645966,0,7,7,3
48,3,0,0,0,0,0,2223.5,4.69441567,0,7,7,3
49,3,0,0,0,0,0,2323.2,4.483921745,0,7,7,3
50,3,0,0,0,0,0,2422.9,4.29149449,0,7,7,3
51,3,0,0,0,1,0,2522.6,4.114903628,0,7,7,3
52,3,0,0,0,0,0,2622.3,3.952271466,0,7,7,3
53,3,0,0,0,0,0,2722,3.802005873,0,7,7,5
54,3,0,0,0,0,0,2748.5,0.973548861,0,7,7,6
55,3,0,0,0,0,0,2775,0.96416227,0,7,7,28
56,3,0,0,0,0,0,2801,0.936936937,0,7,7,30
57,3,0,0,0,0,0,2827,0.928239914,0,7,7,31
58,3,0,0,0,0,0,2853.5,0.937389459,0,7,7,34
59,3,0,0,0,0,0,2880,0.928684072,0,7,7,39
60,3,0,0,0,0,0,3117.5,8.246527778,0,7,7,48
61,3,0,0,0,0,0,3355,7.618283881,0,7,7,63
62,5,0,2,0,0,66.667,3592.5,7.078986587,0.842105263,7,7,71
63,6,0,1,0,0,20,3830,6.610995129,0.421052632,7,7,81
64,28,0,22,0,0,366.667,4067.5,6.201044386,9.263157895,7,7,91
65,30,0,2,0,0,7.143,4305,5.838967425,0.842105263,7,7,102
66,31,0,1,0,0,3.333,4542.5,5.516840883,0.421052632,7,7,112
67,34,0,3,0,0,9.677,4780,5.228398459,1.263157895,7,7,126
68,39,0,5,0,0,14.706,5017.5,4.968619247,2.105263158,7,7,146
69,48,0,9,0,0,23.077,5255,4.733432985,3.789473684,7,7,171
70,63,0,15,0,1,31.25,5462.5,3.948620362,7.228915663,7,7,198
71,71,0,8,0,0,12.698,5670,3.798627002,3.855421687,7,7,256
72,81,1,10,1,0,14.085,5877.5,3.659611993,4.819277108,7,7,334
73,91,1,10,0,6,12.346,6085,3.53041259,4.819277108,7,7,403
74,102,2,11,1,0,12.088,6292.5,3.410024651,5.301204819,7,7,497
75,112,2,10,0,3,9.804,6500,3.29757648,4.819277108,7,7,571
76,126,2,14,0,1,12.5,8188.833,25.98205129,0.828974637,7,7,657
77,146,3,20,1,1,15.873,9877.667,20.62361345,1.184249482,7,7,730
78,171,3,25,0,0,17.123,13125,32.87551041,0.769862451,7,7,883
79,198,4,27,1,5,15.789,13316,1.455238095,14.13612565,7,7,1019
80,256,4,58,0,3,29.293,15404,15.6803845,2.777777778,7,7,1139
81,334,4,78,0,0,30.469,16633,7.978447157,6.346623271,7,7,1326
82,403,7,69,3,0,20.659,18127,8.982143931,4.618473896,7,7,1635
83,497,9,94,2,2,23.325,20707,14.23291223,3.643410853,1,7,2059
84,571,10,74,1,15,14.889,22694,9.595788864,3.724207348,1,7,2545
85,657,11,86,1,3,15.061,25144,10.79580506,3.510204082,1,7,3105
86,730,16,73,5,7,11.111,26416,5.058860961,5.738993711,1,7,3684
87,883,19,153,3,25,20.959,27688,4.815263477,12.02830189,1,7,4293
88,1019,24,136,5,10,15.402,31308,13.074256,3.756906077,1,7,4777
89,1139,27,120,3,17,11.776,34928,11.56253993,3.314917127,1,7,5350
90,1326,41,187,14,35,16.418,38442,10.06069629,5.321570859,1,7,5915
91,1635,47,309,6,13,23.303,42785,11.29753915,7.114897536,1,1,6728
92,2059,53,424,6,19,25.933,47951,12.07432511,8.207510647,1,1,7599
93,2545,69,486,16,22,23.604,55851,16.47515172,6.151898734,1,1,8453
94,3105,83,560,14,39,22.004,69245,23.9816655,4.180976557,1,1,9211
95,3684,96,579,13,56,18.647,79950,15.45959997,5.408687529,1,1,10454
96,4293,118,609,22,43,16.531,89534,11.98749218,6.354340568,1,1,11485
97,4777,134,484,16,65,11.274,101068,12.88225702,4.196289232,1,1,12371
98,5350,161,573,27,75,11.995,114015,12.8101872,4.425735692,1,1,13432
99,5915,181,565,20,96,10.561,127919,12.19488664,4.063578826,1,1,14354
100,6728,227,813,46,70,13.745,144910,13.28262416,4.784886116,1,1,15725
101,7599,249,871,22,151,12.946,161330,11.33117107,5.304506699,1,1,17305
102,8453,290,854,41,186,11.238,179374,11.18452861,4.732875194,1,1,18544
103,9211,332,758,42,114,8.967,195748,9.128413259,4.629290338,1,1,20081
104,10454,359,1243,27,112,13.495,217554,11.13983285,5.700265982,1,1,21373
